Area;Ano;Acanthodoras_spinosissimus;Acarichthys_heckelii;Acaronia_nassa;Acestrorhynchus_falcirostris;Acestrorhynchus_microlepis;Ageneiosus_cf._vittatus;Ageneiosus_dentatus;Ageneiosus_inermis;Ageneiosus_ucayalensis;Agoniates_halecinus;Amblydoras_affinis;Anadoras_weddellii;Anodus_elongatus;Anostomoides_laticeps;Argonectes_longiceps;Astrodoras_asterifrons;Auchenipterichthys_longimanus;Auchenipterus_nuchalis;Auchenipterus_osteomystax;Batrochoglanis_villosus;Biotodoma_cupido;Boulengerella_cuvieri;Boulengerella_lucius;Boulengerella_maculata;Brachyplatystoma_capapretum;Brycon_amazonicus;Bryconops_alburnoides;Caenotropus_labyrinthicus;Calophysus_macropterus;Catoprion_mento;Chalceus_epakros;Chalceus_spilogyros;Charax_gibbosus;Cichla_monoculus;Cichla_vazzoleri;Crenicichla_macrophthalma;Crenicichla_marmorata;Curimata_knerii;Curimata_ocellata;Curimata_roseni;Curimata_vittata;Curimatella_meyeri;Cynodon_gibbus;Cyphocharax_abramoides;Cyphocharax_festivus;Cyphocharax_nigripinnis;Dekeyseria_amazonica;Eigenmannia_virescens;Geophagus_altifrons;Goeldiella_eques;Gymnotus_carapo;Harttia_trombetensis;Hassar_orestis;Hemiodus_argenteus;Hemiodus_immaculatus;Hemiodus_unimaculatus;Heros_efasciatus;Hoplias_malabaricus;Hoplosternum_littorale;Hydrolycus_armatus;Hydrolycus_tatauaia;Hypophthalmus_edentatus;Hypophthalmus_fimbriatus;Hypophthalmus_marginatus;Hypoptopoma_elongatum;Hypostomus_carinatus;Ilisha_amazonica;Jurengraulis_juruensis;Laemolyta_proxima;Laemolyta_taeniata;Leiarius_marmoratus;Leporinus_agassizii;Leporinus_fasciatus;Leporinus_friderici;Loricariichthys_acutus;Loricariichthys_nudirostris;Lycengraulis_batesii;Lycengraulis_figueiredoi;Megalechis_picta;Megalodoras_uranoscopus;Mesonauta_festivus;Metynnis_argenteus;Metynnis_hypsauchen;Metynnis_maculatus;Micromischodus_sugillatus;Moenkhausia_copei;Myloplus_asterias;Myloplus_lobatus;Ossancora_asterophysa;Osteoglossum_bicirrhosum;Pachypops_fourcroi;Pachypops_trifilis;Peckoltia_braueri;Pellona_castelnaeana;Pellona_flavipinnis;Pimelodella_cristata;Pimelodus_albofasciatus;Pimelodus_ornatus;Pinirampus_pirinampu;Plagioscion_montei;Plagioscion_squamosissimus;Platynematichthys_notatus;Platystomatichthys_sturio;Poptella_compressa;Potamorhina_latior;Pristigaster_cayana;Pristobrycon_striolatus;Prochilodus_nigricans;Pseudanos_gracilis;Pseudoloricaria_laeviuscula;Pseudoplatystoma_punctifer;Pterodoras_granulosus;Pterygoplichthys_gibbiceps;Pygocentrus_nattereri;Pygopristis_denticulata;Reganella_depressa;Rhamphichthys_marmoratus;Rhamphichthys_rostratus;Rhaphiodon_vulpinus;Rineloricaria_formosa;Satanoperca_acuticeps;Satanoperca_jurupari;Satanoperca_lilith;Scorpiodoras_heckelli;Semaprochilodus_insignis;Semaprochilodus_taeniurus;Serrasalmus_altispinnis;Serrasalmus_eigenmanni;Serrasalmus_elongatus;Serrasalmus_gouldingi;Serrasalmus_manueli;Serrasalmus_rhombeus;Sorubim_lima;Steatogenys_elegans;Tatia_nigra;Tenellus_ternetzi;Tenellus_trimaculatus;Tetragonopterus_argenteus;Tetranematichthys_wallacei;Trachelyopterichthys_taeniatus;Trachelyopterus_coriaceus;Trachycorystes_trachycorystes;Trachydoras_brevis;Trachydoras_steindachneri;Triportheus_albus;Triportheus_auritus;Triportheus_rotundatus;Uaru_amphiacanthoides
Natural;1991;0;0.133129392;0;0;0.066564696;0;0;0;0.266258785;0;0;0;0;0;0.066564696;0.133129392;3.461364203;0;0;0;0;0;0;0;0;0;0;0;0;0;0.133129392;0;0;0.066564696;0.465952873;0;0;0;0;0.066564696;0.066564696;0;0;0;0.199694089;0;0;0;0;0;0;0;0;0.133129392;0;0.998470443;0;0.066564696;0;0.199694089;0;0;0;0;0;0.399388177;0;0;0.133129392;0.53251757;0;0;0.332823481;0.066564696;0;0;0;0;0;0;0;0;0;0;0;0.133129392;0;0;0.465952873;0;0;0;0;0.066564696;0.066564696;0.199694089;0;0;0.133129392;0;0.266258785;0;0;0;0;0;0;0;0;0.066564696;0.066564696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.133129392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural;1992;0;0;0;0;0.193001428;0;0;0.386002856;0;0;0;0;0;0;0.193001428;0;6.562048548;0;0;0;0;0;0;0.386002856;0;0;0;0.386002856;0;0;0;0;0;0;0;0;0.579004284;0;0.193001428;0;0;0;0.193001428;0;0;0;0;0;1.351009995;0;0;0;0;1.544011423;0;6.948051404;0;0;0;0;0;0;0.386002856;0;0;0.193001428;3.088022846;0;0;0.386002856;0;0;2.70201999;0;0.193001428;0;0;0;0;0;0;0;0;0;0.386002856;0;0;0;0.193001428;0;0;0.193001428;0;0;0.193001428;0.579004284;0;0;0.579004284;0;0.386002856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.579004284;0;0;0;0;0;0;0.193001428;0;0;0;0.193001428;0;0.772005712;0;0;0.579004284;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural;1993;0;0;0;0;0;0;0;0;0.854715134;0;0;0;1.025658161;0;0.170943027;0.170943027;1.965844809;0.085471513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.170943027;0;0;0;1.111129675;0.25641454;0;0;0;0;0;0;0;0;0;0;0;0;0;1.282072701;0;1.965844809;0;0;0;0;0;0;0.170943027;0;0;0;0.683772107;0;0;0;0;0;0.598300594;0;0;0;0;0;0;0;0;0;0;0.085471513;0.085471513;0;0;0.25641454;0;0;0;0;0;0;0.085471513;0;0;0;0.25641454;0;0.170943027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.170943027;0;0.085471513;0;0;0;0;0.341886054;0;0;0;0;0;0.085471513;0;0;0;0;0;0;0;0;0;0.085471513;0;0;0;0;0;0
Natural;1998;0;0;0;0;0.096418202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.096418202;0;0;0.578509212;0;0;0;0;0.192836404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.771345616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.192836404;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural;1999;0;0;0;0;0.192836404;0.385672808;0;0;0.48209101;0;0;0;0;0;0;0.096418202;2.121200445;0;0;0;0;0;0;0;0;0;0.096418202;0.096418202;0;0;0;0;0;0;0;0;0;0;0.096418202;0;0;0;0;0.867763819;0;0;0;0;0.192836404;0;0;0;0;0.578509212;0;0.385672808;0;0;0;0;0;0;0;0;0.289254606;0;0.096418202;0;0;0.192836404;0;0;0;0;0.289254606;0.096418202;0.096418202;0.192836404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.385672808;0.096418202;0.289254606;0;0;0;0.192836404;0;0.578509212;0;0;0;0;0;0;0;0;0.48209101;0;0;0;0;0;0;0;0;0;0;0.192836404;0;0;0;0;0;0;0;0;0.289254606;0;0.192836404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural;2000;0;0;0;0.072725883;0.290903531;0;0;0.145451766;0;0;0;0;0;0;0.072725883;0.072725883;2.5454059;0.072725883;0;0;0;0;0;0;0;0.072725883;0.145451766;0;0;0;0;0.218177649;0;0;0.145451766;0;0;0;0;0;0.145451766;0;0;0;0;0;0;0;0;0;0;0;1.818147071;0.872710594;0.436355297;0.945436477;0;0;0;0;0;0;0;0;0;0;0.218177649;0;0;0;0;0;0.218177649;0.145451766;0.218177649;0.072725883;0;0;0;0;0;0;0;0;1.090888243;0;0;0;0;0;0;0.072725883;0;0;0.072725883;0;0;0;0;0.072725883;0.363629414;0;0;0;0;0;0.145451766;0;0;0.072725883;0.072725883;0;0;0;0;0;0;0;0;0.072725883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.072725883;0;0.145451766;0;0;0;0
Natural;2001;0;0;0;0.072725883;0.290903531;0;0;0;0;0.290903531;0;0;0;0;0;0.218177649;3.054487079;0;0;0;0;0.072725883;0.145451766;0;0;0;0.727258828;0;0;0;0;0.072725883;0;0;0.727258828;0;0.072725883;0;0;0;0.145451766;0;0;0;0.145451766;0;0;0;0;0;0;0;0;0.072725883;0.872710594;0.50908118;0;0.072725883;0;0;0;0;0;0;0;0;0;0.072725883;0.072725883;0.072725883;0;0;0.218177649;0;0.363629414;0;0;0;0;0;0;0;0;0;3.054487079;0;0;0;0;0;0;0.072725883;0;0;0.072725883;0;0;0;0;0.072725883;0.072725883;0;0;0;0;0;0;0;0;0.072725883;0;0;0;0;0;0;0;0;0;0;0.363629414;0;0;0;0;0;0;0;0.072725883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.072725883;0;0;0.072725883
Natural;2002;0;0.072725883;0.072725883;0;0.363629414;0;0;0;0.290903531;0.436355297;0;0;0;0;0.072725883;0.363629414;2.763583548;0;0;0;0;0.072725883;0;0;0;0;0.799984711;0;0;0;0;0;0;0;0.072725883;0.072725883;0;0;0;0;1.090888243;0;0;0;0;0;0;0;0.072725883;0;0.072725883;0;0;0;0.290903531;0.363629414;0;0;0;0;0;0;0;0;0;0.072725883;0;0;0;0.290903531;0;0;0.072725883;0;0.727258828;0;0;0;0;0;0;0;0;0;0.145451766;0;0;0;0;0;0;0;0.145451766;0;0;0;0;0;0;0.581807063;0.50908118;0;0;0;0;0;0;0;0;0;0;0.072725883;0;0;0;0;0.072725883;0;0;0;0.072725883;0;0;0;0;0;0;0;0;0.072725883;0.072725883;0;0;0;0.072725883;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural;2003;0;0;0.072725883;0.436355297;1.01816236;0;0;0;0.145451766;1.309065891;0;0;0;0;0;0.50908118;5.818070627;0;0;0;0;0.145451766;0.145451766;0.072725883;0;0;1.381791774;0;0;0;0;0;0;0;0.072725883;0;0;0;0;0.072725883;1.963598837;0;0;0;0;0;0.072725883;0;0.436355297;0;0;0;0;0;0.145451766;0;0;0.145451766;0;0;0;0;0;0.072725883;0.072725883;0.072725883;0;0;0;0.363629414;0;0;0.363629414;0.072725883;0;0;0;0;0;0;0;0;0;0;1.890872954;0;0;0;0;0;0.218177649;0.218177649;0;0.145451766;0.218177649;0;0;0;0.145451766;0.581807063;0.50908118;0;0;0;0;0;0;0;0;0;0.072725883;0;0;0;0.072725883;0;0;0;0;0;0.072725883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural;2004;0;0;0;0.072725883;0.218177649;0;0;0;0;1.745421188;0;0;0;0;0;0.290903531;6.254425925;0;0;0;0;0;0;0.145451766;0;0;1.01816236;0;0;0;0.072725883;0;0;0;0;0;0;0;0.072725883;0;0.072725883;0;0;0;0.072725883;0;0;0;0.218177649;0;0;0;0;0.072725883;0.145451766;0.072725883;0;0;0;0;0;0;0;0;0.072725883;0;0.145451766;0;0;0.727258828;0;0;0.072725883;0;0.072725883;0;0;0;0;0;0;0;0;0;0.218177649;0;0;0;0;0;0;0;0;0;0.072725883;0;0;0;0;0.145451766;0.072725883;0;0;0;0;0;0;0;0;0.072725883;0;0;0;0;0;0;0;0;0;0;0.072725883;0;0;0;0;0;0;0;0;0;0;0;0;0;0.072725883;0;0;0;0;0;0;0;0;0;0;0;0;0
