Area,Ano,Acanthodoras_spinosissimus,Acarichthys_heckelii,Acaronia_nassa,Acestrorhynchus_falcirostris,Acestrorhynchus_microlepis,Ageneiosus_cf._vittatus,Ageneiosus_dentatus,Ageneiosus_inermis,Ageneiosus_ucayalensis,Agoniates_halecinus,Amblydoras_affinis,Anadoras_weddellii,Anodus_elongatus,Anostomoides_laticeps,Argonectes_longiceps,Astrodoras_asterifrons,Auchenipterichthys_longimanus,Auchenipterus_nuchalis,Auchenipterus_osteomystax,Batrochoglanis_villosus,Biotodoma_cupido,Boulengerella_cuvieri,Boulengerella_lucius,Boulengerella_maculata,Brachyplatystoma_capapretum,Brycon_amazonicus,Bryconops_alburnoides,Caenotropus_labyrinthicus,Calophysus_macropterus,Catoprion_mento,Chalceus_epakros,Chalceus_spilogyros,Charax_gibbosus,Cichla_monoculus,Cichla_vazzoleri,Crenicichla_macrophthalma,Crenicichla_marmorata,Curimata_knerii,Curimata_ocellata,Curimata_roseni,Curimata_vittata,Curimatella_meyeri,Cynodon_gibbus,Cyphocharax_abramoides,Cyphocharax_festivus,Cyphocharax_nigripinnis,Dekeyseria_amazonica,Eigenmannia_virescens,Geophagus_altifrons,Goeldiella_eques,Gymnotus_carapo,Harttia_trombetensis,Hassar_orestis,Hemiodus_argenteus,Hemiodus_immaculatus,Hemiodus_unimaculatus,Heros_efasciatus,Hoplias_malabaricus,Hoplosternum_littorale,Hydrolycus_armatus,Hydrolycus_tatauaia,Hypophthalmus_edentatus,Hypophthalmus_fimbriatus,Hypophthalmus_marginatus,Hypoptopoma_elongatum,Hypostomus_carinatus,Ilisha_amazonica,Jurengraulis_juruensis,Laemolyta_proxima,Laemolyta_taeniata,Leiarius_marmoratus,Leporinus_agassizii,Leporinus_fasciatus,Leporinus_friderici,Loricariichthys_acutus,Loricariichthys_nudirostris,Lycengraulis_batesii,Lycengraulis_figueiredoi,Megalechis_picta,Megalodoras_uranoscopus,Mesonauta_festivus,Metynnis_argenteus,Metynnis_hypsauchen,Metynnis_maculatus,Micromischodus_sugillatus,Moenkhausia_copei,Myloplus_asterias,Myloplus_lobatus,Ossancora_asterophysa,Osteoglossum_bicirrhosum,Pachypops_fourcroi,Pachypops_trifilis,Peckoltia_braueri,Pellona_castelnaeana,Pellona_flavipinnis,Pimelodella_cristata,Pimelodus_albofasciatus,Pimelodus_ornatus,Pinirampus_pirinampu,Plagioscion_montei,Plagioscion_squamosissimus,Platynematichthys_notatus,Platystomatichthys_sturio,Poptella_compressa,Potamorhina_latior,Pristigaster_cayana,Pristobrycon_striolatus,Prochilodus_nigricans,Pseudanos_gracilis,Pseudoloricaria_laeviuscula,Pseudoplatystoma_punctifer,Pterodoras_granulosus,Pterygoplichthys_gibbiceps,Pygocentrus_nattereri,Pygopristis_denticulata,Reganella_depressa,Rhamphichthys_marmoratus,Rhamphichthys_rostratus,Rhaphiodon_vulpinus,Rineloricaria_formosa,Satanoperca_acuticeps,Satanoperca_jurupari,Satanoperca_lilith,Scorpiodoras_heckelli,Semaprochilodus_insignis,Semaprochilodus_taeniurus,Serrasalmus_altispinnis,Serrasalmus_eigenmanni,Serrasalmus_elongatus,Serrasalmus_gouldingi,Serrasalmus_manueli,Serrasalmus_rhombeus,Sorubim_lima,Steatogenys_elegans,Tatia_nigra,Tenellus_ternetzi,Tenellus_trimaculatus,Tetragonopterus_argenteus,Tetranematichthys_wallacei,Trachelyopterichthys_taeniatus,Trachelyopterus_coriaceus,Trachycorystes_trachycorystes,Trachydoras_brevis,Trachydoras_steindachneri,Triportheus_albus,Triportheus_auritus,Triportheus_rotundatus,Uaru_amphiacanthoides
Natural,1991,,2,,,1,,,,4,,,,,,1,2,52,,,,,,,,,,,,,,2,,,1,7,,,,,1,1,,,,3,,,,,,,,,2,,15,,1,,3,,,,,,6,,,2,8,,,5,1,,,,,,,,,,,,2,,,7,,,,,1,1,3,,,2,,4,,,,,,,,,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Natural,1992,,,,,1,,,2,,,,,,,1,,34,,,,,,,2,,,,2,,,,,,,,,3,,1,,,,1,,,,,,7,,,,,8,,36,,,,,,,2,,,1,16,,,2,,,14,,1,,,,,,,,,,2,,,,1,,,1,,,1,3,,,3,,2,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,1,,4,,,3,,,,,,,,,,,,,
Natural,1993,,,,,,,,,10,,,,12,,2,2,23,1,,,,,,,,,,,,,,,,,2,,,,13,3,,,,,,,,,,,,,,15,,23,,,,,,,2,,,,8,,,,,,7,,,,,,,,,,,1,1,,,3,,,,,,,1,,,,3,,2,,,,,,,,,,,,,,,,,,2,,1,,,,,4,,,,,,1,,,,,,,,,,1,,,,,,
Natural,1998,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Natural,1999,,,,,2,4,,,5,,,,,,,1,22,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,9,,,,,2,,,,,6,,4,,,,,,,,,3,,1,,,2,,,,,3,1,1,2,,,,,,,,,,,,,,,4,1,3,,,,2,,6,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,,3,,2,,,,,,,,,,,,,,,,
Natural,2000,,,,1,4,,,2,,,,,,,1,1,35,1,,,,,,,,1,2,,,,,3,,,2,,,,,,2,,,,,,,,,,,,25,12,6,13,,,,,,,,,,,3,,,,,,3,2,3,1,,,,,,,,,15,,,,,,,1,,,1,,,,,1,5,,,,,,2,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,
Natural,2001,,,,1,4,,,,,4,,,,,,3,42,,,,,1,2,,,,10,,,,,1,,,10,,1,,,,2,,,,2,,,,,,,,,1,12,7,,1,,,,,,,,,,1,1,1,,,3,,5,,,,,,,,,,42,,,,,,,1,,,1,,,,,1,1,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1
Natural,2002,,1,1,,5,,,,4,6,,,,,1,5,38,,,,,1,,,,,11,,,,,,,,1,1,,,,,15,,,,,,,,1,,1,,,,4,5,,,,,,,,,,1,,,,4,,,1,,10,,,,,,,,,,2,,,,,,,,2,,,,,,,8,7,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
Natural,2003,,,1,6,14,,,,2,18,,,,,,7,80,,,,,2,2,1,,,19,,,,,,,,1,,,,,1,27,,,,,,1,,6,,,,,,2,,,2,,,,,,1,1,1,,,,5,,,5,1,,,,,,,,,,,26,,,,,,3,3,,2,3,,,,2,8,7,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural,2004,,,,1,3,,,,,24,,,,,,4,86,,,,,,,2,,,14,,,,1,,,,,,,,1,,1,,,,1,,,,3,,,,,1,2,1,,,,,,,,,1,,2,,,10,,,1,,1,,,,,,,,,,3,,,,,,,,,,1,,,,,2,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Natural,2005,,,,1,1,1,,,,15,,,,,3,11,20,2,,,,,,,,,31,,,,,,,,8,,,,4,3,7,,,1,1,,,,1,,,,1,3,12,3,,,,,,,,8,4,,1,,,3,,,7,,2,,2,,,,,,,,4,,,1,,,,3,,,,1,,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,2,,,,,,,,,4,,,
Natural,2006,,,,1,,,,,4,,,,,,7,1,31,,,,,,1,,,1,6,,,1,,4,,,1,,,,2,,13,,,,,,,,,,,,1,,4,,,,,,,,,3,,,,,,5,,,4,,2,,,,,,,,1,,8,,,,2,,,,,1,1,,,,,,4,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,1,,,2,,,,,,,,,,3,1,,
