especies,mbl,guild,habitat
Acanthodoras_spinosissimus,14,onivoro,bentonico
Acarichthys_heckelii,13.4,invertivoro,epibentonico
Acaronia_nassa,15.4,carnivoro,epibentonico
Acestrorhynchus_falcirostris,45,piscivoro,nectonico
Acestrorhynchus_microlepis,37,piscivoro,nectonico
Ageneiosus_cf._vittatus,22,piscivoro,bentonico
Ageneiosus_dentatus,64.8,piscivoro,bentonico
Ageneiosus_inermis,35.2,piscivoro,bentonico
Ageneiosus_ucayalensis,26.8,piscivoro,bentonico
Agoniates_halecinus,10,piscivoro,nectonico
Amblydoras_affinis,15,onivoro,bentonico
Anadoras_weddellii,10.5,onivoro,bentonico
Anodus_elongatus,30.3,planctivoro,nectonico
Anostomoides_laticeps,30,herbivoro,nectonico
Argonectes_longiceps,24.5,dentritivoro,nectonico
Astrodoras_asterifrons,8.11,onivoro,bentonico
Auchenipterichthys_longimanus,22.8,onivoro,epibentonico
Auchenipterus_nuchalis,27,invertivoro,bentonico
Auchenipterus_osteomystax,39,invertivoro,bentonico
Batrochoglanis_villosus,15,carnivoro,bentonico
Biotodoma_cupido,11.7,carnivoro,epibentonico
Boulengerella_cuvieri,88,piscivoro,nectonico
Boulengerella_lucius,42,piscivoro,nectonico
Boulengerella_maculata,32,piscivoro,nectonico
Brachyplatystoma_capapretum,58.1,piscivoro,bentonico
Brycon_amazonicus,46.22,dentritivoro,epibentonico
Bryconops_alburnoides,15,invertivoro,nectonico
Caenotropus_labyrinthicus,18.6,onivoro,nectonico
Calophysus_macropterus,40,piscivoro,bentonico
Catoprion_mento,15,piscivoro,epibentonico
Chalceus_epakros,17.4,invertivoro,nectonico
Chalceus_spilogyros,22.3,invertivoro,nectonico
Charax_gibbosus,14.4,piscivoro,epibentonico
Cichla_monoculus,70,piscivoro,epibentonico
Cichla_vazzoleri,41,piscivoro,epibentonico
Crenicichla_macrophthalma,20,carnivoro,epibentonico
Crenicichla_marmorata,28,carnivoro,epibentonico
Curimata_knerii,18,dentritivoro,epibentonico
Curimata_ocellata,22.5,dentritivoro,epibentonico
Curimata_roseni,19.5,dentritivoro,epibentonico
Curimata_vittata,19.6,dentritivoro,epibentonico
Curimatella_meyeri,17.2,dentritivoro,epibentonico
Cynodon_gibbus,32.2,piscivoro,nectonico
Cyphocharax_abramoides,21.3,dentritivoro,epibentonico
Cyphocharax_festivus,16.7,dentritivoro,epibentonico
Cyphocharax_nigripinnis,6.5,dentritivoro,epibentonico
Dekeyseria_amazonica,18,dentritivoro,bentonico
Eigenmannia_virescens,44,invertivoro,nectonico
Geophagus_altifrons,26.5,invertivoro,epibentonico
Goeldiella_eques,76,carnivoro,bentonico
Gymnotus_carapo,18,carnivoro,epibentonico
Harttia_trombetensis,29.8,herbivoro,bentonico
Hassar_orestis,24,invertivoro,bentonico
Hemiodus_argenteus,25,onivoro,nectonico
Hemiodus_immaculatus,24,onivoro,nectonico
Hemiodus_unimaculatus,26,onivoro,nectonico
Heros_efasciatus,14,onivoro,epibentonico
Hoplias_malabaricus,65,piscivoro,bentonico
Hoplosternum_littorale,26.3,invertivoro,bentonico
Hydrolycus_armatus,89,piscivoro,nectonico
Hydrolycus_tatauaia,59,piscivoro,nectonico
Hypophthalmus_edentatus,58,planctivoro,epibentonico
Hypophthalmus_fimbriatus,30,planctivoro,epibentonico
Hypophthalmus_marginatus,55,planctivoro,epibentonico
Hypoptopoma_elongatum,10.2,dentritivoro,bentonico
Hypostomus_carinatus,25,dentritivoro,bentonico
Ilisha_amazonica,19.7,planctivoro,nectonico
Jurengraulis_juruensis,17.9,planctivoro,nectonico
Laemolyta_proxima,28.5,herbivoro,nectonico
Laemolyta_taeniata,29,herbivoro,nectonico
Leiarius_marmoratus,100,onivoro,bentonico
Leporinus_agassizii,23.4,onivoro,epibentonico
Leporinus_fasciatus,37,onivoro,epibentonico
Leporinus_friderici,40,onivoro,epibentonico
Loricariichthys_acutus,28,onivoro,bentonico
Loricariichthys_nudirostris,23.5,onivoro,bentonico
Lycengraulis_batesii,30,carnivoro,nectonico
Lycengraulis_figueiredoi,17.1,carnivoro,nectonico
Megalechis_picta,15.5,dentritivoro,bentonico
Megalodoras_uranoscopus,60,herbivoro,bentonico
Mesonauta_festivus,12.1,onivoro,epibentonico
Metynnis_argenteus,18,herbivoro,nectonico
Metynnis_hypsauchen,16.4,herbivoro,nectonico
Metynnis_maculatus,18,herbivoro,nectonico
Micromischodus_sugillatus,17,dentritivoro,nectonico
Moenkhausia_copei,6,onivoro,nectonico
Myloplus_asterias,25,herbivoro,nectonico
Myloplus_lobatus,24.5,herbivoro,nectonico
Ossancora_asterophysa,16.8,invertivoro,bentonico
Osteoglossum_bicirrhosum,120,carnivoro,nectonico
Pachypops_fourcroi,25,carnivoro,epibentonico
Pachypops_trifilis,18.9,carnivoro,epibentonico
Peckoltia_braueri,89,dentritivoro,bentonico
Pellona_castelnaeana,80,piscivoro,nectonico
Pellona_flavipinnis,73,piscivoro,nectonico
