especies,mbl,guild,habitat,estrategia_hv,migracao
Acanthodoras_spinosissimus,14,onivoro,bentonico,sedentario,periodico
Acarichthys_heckelii,13.4,invertivoro,epibentonico,sedentario,equilibrio
Acaronia_nassa,15.4,carnivoro,epibentonico,sedentario,equilibrio
Acestrorhynchus_falcirostris,45,piscivoro,nectonico,local,periodico
Acestrorhynchus_microlepis,37,piscivoro,nectonico,local,periodico
Ageneiosus_cf._vittatus,22,piscivoro,bentonico,local,intermediario
Ageneiosus_dentatus,64.8,piscivoro,bentonico,local,intermediario
Ageneiosus_inermis,35.2,piscivoro,bentonico,local,periodico
Ageneiosus_ucayalensis,26.8,piscivoro,bentonico,local,intermediario
Agoniates_halecinus,10,piscivoro,nectonico,local,periodico
Amblydoras_affinis,15,onivoro,bentonico,sedentario,periodico
Anadoras_weddellii,10.5,onivoro,bentonico,sedentario,periodico
Anodus_elongatus,30.3,planctivoro,nectonico,local,periodico
Anostomoides_laticeps,30,herbivoro,nectonico,local,periodico
Argonectes_longiceps,24.5,dentritivoro,nectonico,regional,periodico
Astrodoras_asterifrons,8.11,onivoro,bentonico,sedentario,oportunista
Auchenipterichthys_longimanus,22.8,onivoro,epibentonico,local,oportunista
Auchenipterus_nuchalis,27,invertivoro,bentonico,local,intermediario
Auchenipterus_osteomystax,39,invertivoro,bentonico,sedentario,intermediario
Batrochoglanis_villosus,15,carnivoro,bentonico,sedentario,periodico
Biotodoma_cupido,11.7,carnivoro,epibentonico,sedentario,equilibrio
Boulengerella_cuvieri,88,piscivoro,nectonico,local,periodico
Boulengerella_lucius,42,piscivoro,nectonico,local,periodico
Boulengerella_maculata,32,piscivoro,nectonico,local,periodico
Brachyplatystoma_capapretum,58.1,piscivoro,bentonico,longa_distancia,periodico
Brycon_amazonicus,46.22,dentritivoro,epibentonico,regional,periodico
Bryconops_alburnoides,15,invertivoro,nectonico,local,oportunista
Caenotropus_labyrinthicus,18.6,onivoro,nectonico,local,periodico
Calophysus_macropterus,40,piscivoro,bentonico,local,periodico
Catoprion_mento,15,piscivoro,epibentonico,local,intermediario
Chalceus_epakros,17.4,invertivoro,nectonico,local,periodico
Chalceus_spilogyros,22.3,invertivoro,nectonico,local,periodico
Charax_gibbosus,14.4,piscivoro,epibentonico,local,periodico
Cichla_monoculus,70,piscivoro,epibentonico,sedentario,equilibrio
Cichla_vazzoleri,41,piscivoro,epibentonico,sedentario,equilibrio
Crenicichla_macrophthalma,20,carnivoro,epibentonico,sedentario,equilibrio
Crenicichla_marmorata,28,carnivoro,epibentonico,sedentario,equilibrio
Curimata_knerii,18,dentritivoro,epibentonico,local,periodico
Curimata_ocellata,22.5,dentritivoro,epibentonico,local,periodico
Curimata_roseni,19.5,dentritivoro,epibentonico,local,periodico
Curimata_vittata,19.6,dentritivoro,epibentonico,local,periodico
Curimatella_meyeri,17.2,dentritivoro,epibentonico,local,periodico
Cynodon_gibbus,32.2,piscivoro,nectonico,local,periodico
Cyphocharax_abramoides,21.3,dentritivoro,epibentonico,local,periodico
Cyphocharax_festivus,16.7,dentritivoro,epibentonico,local,periodico
Cyphocharax_nigripinnis,6.5,dentritivoro,epibentonico,local,periodico
Dekeyseria_amazonica,18,dentritivoro,bentonico,sedentario,equilibrio
Eigenmannia_virescens,44,invertivoro,nectonico,local,periodico
Geophagus_altifrons,26.5,invertivoro,epibentonico,sedentario,equilibrio
Goeldiella_eques,76,carnivoro,bentonico,local,periodico
Gymnotus_carapo,18,carnivoro,epibentonico,sedentario,equilibrio
Harttia_trombetensis,29.8,herbivoro,bentonico,sedentario,periodico
Hassar_orestis,24,invertivoro,bentonico,local,periodico
Hemiodus_argenteus,25,onivoro,nectonico,local,periodico
Hemiodus_immaculatus,24,onivoro,nectonico,local,periodico
Hemiodus_unimaculatus,26,onivoro,nectonico,local,periodico
Heros_efasciatus,14,onivoro,epibentonico,sedentario,equilibrio
Hoplias_malabaricus,65,piscivoro,bentonico,sedentario,intermediario
Hoplosternum_littorale,26.3,invertivoro,bentonico,sedentario,intermediario
Hydrolycus_armatus,89,piscivoro,nectonico,local,periodico
Hydrolycus_tatauaia,59,piscivoro,nectonico,local,periodico
Hypophthalmus_edentatus,58,planctivoro,epibentonico,local,periodico
Hypophthalmus_fimbriatus,30,planctivoro,epibentonico,local,periodico
Hypophthalmus_marginatus,55,planctivoro,epibentonico,local,periodico
Hypoptopoma_elongatum,10.2,dentritivoro,bentonico,sedentario,intermediario
Hypostomus_carinatus,25,dentritivoro,bentonico,sedentario,equilibrio
Ilisha_amazonica,19.7,planctivoro,nectonico,local,periodico
Jurengraulis_juruensis,17.9,planctivoro,nectonico,local,periodico
Laemolyta_proxima,28.5,herbivoro,nectonico,local,periodico
Laemolyta_taeniata,29,herbivoro,nectonico,local,periodico
Leiarius_marmoratus,100,onivoro,bentonico,regional,periodico
Leporinus_agassizii,23.4,onivoro,epibentonico,local,periodico
Leporinus_fasciatus,37,onivoro,epibentonico,local,periodico
Leporinus_friderici,40,onivoro,epibentonico,local,periodico
Loricariichthys_acutus,28,onivoro,bentonico,sedentario,equilibrio
Loricariichthys_nudirostris,23.5,onivoro,bentonico,sedentario,equilibrio
Lycengraulis_batesii,30,carnivoro,nectonico,local,periodico
Lycengraulis_figueiredoi,17.1,carnivoro,nectonico,local,periodico
Megalechis_picta,15.5,dentritivoro,bentonico,sedentario,equilibrio
Megalodoras_uranoscopus,60,herbivoro,bentonico,longa_distancia,periodico
Mesonauta_festivus,12.1,onivoro,epibentonico,sedentario,equilibrio
